source_id,title,organization,source_type,url,publication_date,accessed_date,last_verified,language,geographic_scope,crop,pest_id,pest_name,authority_level,verified_topics,evidence_notes,limitations,notes
SRC_ICAR_GLH_WEATHER_001,Ecological factors favouring green leafhopper (Nephotettix virescens) population in rice (Oryza sativa),Indian Council of Agricultural Research,Peer-reviewed publication,https://epubs.icar.org.in/index.php/IJAgS/article/view/29839,,2026-09-19,2026-09-19,English,India / study-specific,Rice,green_leafhopper,Green leafhopper,Tier 1,favorable_conditions,Study reports ecological associations involving RH and minimum temperature.,Study-specific associations; not a universal threshold.,
SRC_TNAU_GLH_001,Crop Protection: Pest of Rice — Green leafhopper,Tamil Nadu Agricultural University,State Agricultural University resource,https://agritech.tnau.ac.in/crop_protection/rice/crop_prot_crop_insectpest%20_cereals_paddy_2.html,,2026-09-19,2026-09-19,English,India,Rice,green_leafhopper,Green leafhopper,Tier 2,"identification,symptoms,monitoring,cultural_control,mechanical_control,chemical_control,integrated_pest_management",TNAU rice pest-management resource.,,
SRC_TNAU_GLH_BIO_001,Nursery Management — Green leafhopper,Tamil Nadu Agricultural University,State Agricultural University resource,https://www.agritech.tnau.ac.in/expert_system/paddy/nurserymgmt.html,,2026-09-19,2026-09-19,English,India,Rice,green_leafhopper,Green leafhopper,Tier 2,biological_control,TNAU nursery-management resource supporting biological management information.,,
SRC_IRRI_BPH_001,Taiwan strongly supports management of brown planthopper — a major threat to rice production,International Rice Research Institute,IRRI publication,https://news.irri.org/2016/10/,2016.0,2026-09-19,2026-09-19,English,Rice production / Asia,Rice,brown_planthopper,Brown planthopper,Tier 2,"identification,symptoms,favorable_conditions,cultural_control,biological_control,integrated_pest_management",IRRI material on brown planthopper management.,Archive-level URL; use source context rather than treating as a universal recommendation.,
SRC_IRRI_BPH_002,Letting nature manage its battles,International Rice Research Institute,IRRI publication,https://ricetoday.irri.org/letting-nature-manage-its-battles/,,2026-09-19,2026-09-19,English,Rice production / Asia,Rice,brown_planthopper,Brown planthopper,Tier 2,"cultural_control,biological_control,integrated_pest_management",IRRI discussion of conservation biological control and natural regulation.,,
SRC_ICAR_BPH_MONITORING_001,Pymetrozine Bio-Efficacy Against Brown Planthopper in Rice,Indian Council of Agricultural Research,Peer-reviewed publication,https://epubs.icar.org.in/index.php/JWR/article/download/166548/63091/496632,,2026-09-19,2026-09-19,English,India / study-specific,Rice,brown_planthopper,Brown planthopper,Tier 1,monitoring,Study monitored 10 hills and reports a study-specific threshold range of 5–10 nymphs/adults per hill.,Threshold is study-specific and should not be treated as a universal decision threshold.,
SRC_TNAU_BPH_MECHANICAL_001,Organic Farming — Pest Management,Tamil Nadu Agricultural University,State Agricultural University resource,https://www.agritech.tnau.ac.in/org_farm/orgfarm_agripest.html,,2026-09-19,2026-09-19,English,India,Rice,brown_planthopper,Brown planthopper,Tier 2,mechanical_control,Includes intermittent draining/light traps and water management-related mechanical practices.,,
SRC_ICAR_BPH_CHEMICAL_001,ICAR Kharif Agro-Advisories for Farmers 2025,Indian Council of Agricultural Research,Government agricultural advisory,https://icar.gov.in/sites/default/files/2025-10/ICAR-En-Kharif-Agro-Advisories-for-Farmers-2025.pdf,2025.0,2026-09-19,2026-09-19,English,India,Rice,brown_planthopper,Brown planthopper,Tier 1,chemical_control,"Advisory includes imidacloprid 17.8% SC 250 ml/ha and, for severe cases, dinotefuran 10% + pymetrozine 40% WG 250 g/ha.",Source-specific recommendation; verify current product label and local registration.,
SRC_IRRI_WBPH_001,Breeding for Pest Resistance,International Rice Research Institute,IRRI Rice Improvement resource,https://www.knowledgebank.irri.org/,,2026-09-19,2026-09-19,English,Rice production / Asia,Rice,white_backed_planthopper,White-backed planthopper,Tier 2,"identification,symptoms,cultural_control","IRRI rice-improvement material supporting identification, symptoms and resistance-related cultural/IPM context.",General IRRI landing resource rather than a dedicated WBPH page.,
SRC_IRRI_WBPH_002,Planthoppers: Rice planthopper problems and relevant causes,International Rice Research Institute,IRRI resource,https://www.knowledgebank.irri.org/,,2026-09-19,2026-09-19,English,Rice production / Asia,Rice,white_backed_planthopper,White-backed planthopper,Tier 2,"favorable_conditions,cultural_control,integrated_pest_management",IRRI planthopper management context.,General resource URL.,
SRC_TNAU_WBPH_001,Pest of Paddy — White-backed Planthopper,Tamil Nadu Agricultural University,State Agricultural University resource,https://agritech.tnau.ac.in/expert_system/paddy/cppests_WBPH.html,,2026-09-19,2026-09-19,English,India,Rice,white_backed_planthopper,White-backed planthopper,Tier 2,"identification,symptoms,monitoring,cultural_control,biological_control,mechanical_control",TNAU dedicated WBPH resource.,,
SRC_TNAU_WBPH_CHEMICAL_001,Pest of Paddy — White-backed Planthopper,Tamil Nadu Agricultural University,State Agricultural University resource,https://agritech.tnau.ac.in/expert_system/paddy/cppests_WBPH.html,,2026-09-19,2026-09-19,English,India,Rice,white_backed_planthopper,White-backed planthopper,Tier 2,chemical_control,TNAU page includes chemical management information.,Verify current product label and local registration before any chemical recommendation.,
SRC_TNAU_MIRID_NATURAL_ENEMY_001,Biological control of brown planthopper in rice,Tamil Nadu Agricultural University,University agricultural resource,https://agritech.tnau.ac.in/,,2026-09-19,2026-09-19,English,India / rice production,Rice,mirid_bug,Mirid bug,Tier 2,"identification,biological_control,integrated_pest_management",TNAU rice literature identifies Cyrtorhinus lividipennis as a beneficial predator/natural enemy associated with planthopper management.,Supports natural-enemy status; does not support treating mirid bug itself as a rice-damaging pest.,Use for beneficial-mirid interpretation.
SRC_IRRI_MIRID_001,Rice Tungro Disease Management,International Rice Research Institute,International agricultural research resource,https://www.knowledgebank.irri.org/,,2026-09-19,2026-09-19,English,Rice production / Asia,Rice,mirid_bug,Mirid bug,Tier 2,"monitoring,favorable_conditions,integrated_pest_management",IRRI rice-management material discusses mirid bug populations in relation to rice ecosystem and insect monitoring.,Contextual source rather than a dedicated mirid-bug pest-management manual.,
SRC_IRRI_PEST_LIST_001,Insects — Rice Knowledge Bank,International Rice Research Institute,IRRI Rice Knowledge Bank,https://www.knowledgebank.irri.org/training/fact-sheets/pest-management/insects,,2026-09-19,2026-09-19,English,Rice production / Asia,Rice,caseworm,Caseworm,Tier 2,"identification,symptoms",IRRI rice insect reference.,,
SRC_TNAU_CASEWORM_001,Pest of Paddy — Caseworm,Tamil Nadu Agricultural University,State Agricultural University resource,https://www.agritech.tnau.ac.in/crop_protection/rice/crop_prot_crop_insectpest%20_cereals_paddy_3.html,,2026-09-19,2026-09-19,English,India,Rice,caseworm,Caseworm,Tier 2,"identification,symptoms,favorable_conditions,monitoring,cultural_control,biological_control,mechanical_control,chemical_control,integrated_pest_management",TNAU dedicated caseworm resource covering management topics.,,
SRC_IRRI_PEST_LIST_002,Insects — Rice Knowledge Bank,International Rice Research Institute,IRRI Rice Knowledge Bank,https://www.knowledgebank.irri.org/training/fact-sheets/pest-management/insects,,2026-09-19,2026-09-19,English,Rice production / Asia,Rice,zig_zag_leafhopper,Zig-zag leafhopper,Tier 2,identification,IRRI rice insect reference.,,
SRC_TNAU_ZIGZAG_001,Crop Protection Guide — Rice,Tamil Nadu Agricultural University,State Agricultural University resource,https://agritech.tnau.ac.in/ta/pdf/2013/CPG%202012.pdf,2012.0,2026-09-19,2026-09-19,English,India,Rice,zig_zag_leafhopper,Zig-zag leafhopper,Tier 2,"identification,symptoms,monitoring,cultural_control,biological_control,mechanical_control,chemical_control,integrated_pest_management",TNAU Crop Protection Guide covering rice pest management.,,
SRC_ICAR_ZIGZAG_ENVIRONMENT_001,ICAR publications — ecological context for rice insect pests,Indian Council of Agricultural Research,ICAR research repository,https://epubs.icar.org.in/,,2026-09-19,2026-09-19,English,India / study-specific,Rice,zig_zag_leafhopper,Zig-zag leafhopper,Tier 1,favorable_conditions,ICAR repository source retained for the previously recorded ecological-context evidence.,Repository-level URL; source-specific environmental associations should not be treated as universal thresholds. Exact article-level citation should be verified in a later source-quality audit.,Flag for later URL/source-quality audit.
SRC_TNAU_LEAF_FOLDER_001,Crop Protection — Leaf Folder,Tamil Nadu Agricultural University,State Agricultural University resource,https://agritech.tnau.ac.in/expert_system/paddy/cppests_lf.html,,2026-09-19,2026-09-19,English,India,Rice,leaf_folder,Leaf folder,Tier 2,"identification,symptoms,monitoring,biological_control,mechanical_control,chemical_control,integrated_pest_management",TNAU dedicated rice leaf-folder management resource.,,
SRC_TNAU_LEAF_FOLDER_CULTURAL_001,ICT-AAS — Paddy Leaf Folder Management,Tamil Nadu Agricultural University,State Agricultural University resource,https://agritech.tnau.ac.in/govt_schemes_services/aas/paddy_ex1.html,,2026-09-19,2026-09-19,English,India,Rice,leaf_folder,Leaf folder,Tier 2,"identification,symptoms,favorable_conditions,cultural_control,mechanical_control,integrated_pest_management",TNAU resource supporting leaf-folder management and field practices.,,
SRC_TNAU_LEAF_FOLDER_WEATHER_001,Important Pest in Rice and Their Weather-Based Management,Tamil Nadu Agricultural University,Agricultural extension manual,https://agritech.tnau.ac.in/pdf/ifpri%20merfs/Final%20English%20Manual.pdf,,2026-09-19,2026-09-19,English,India / source-specific,Rice,leaf_folder,Leaf folder,Tier 2,favorable_conditions,"Source reports high RH, low rainfall, low wind and approximately 20–30°C in its weather-based management context.",Source-specific environmental association; not a universal threshold.,
SRC_ICAR_NBAIR_MIRID_001,Cyrtorhinus lividipennis Reuter,ICAR - National Bureau of Agricultural Insect Resources,ICAR-NBAIR featured insect,https://databases.nbair.res.in/Featured_insects/Cyrtorhinus-lividipennis.php,,2026-09-19,2026-09-19,English,India / Oriental region,Rice,mirid_bug,Mirid bug,Tier 1 - ICAR,"identification,biological_control,integrated_pest_management","ICAR-NBAIR identifies Cyrtorhinus lividipennis Reuter and describes it as partly plant-feeding and predaceous on eggs and nymphs of rice planthoppers and leafhoppers, particularly brown planthopper.",Supports beneficial-natural-enemy classification; does not support treating mirid bug as a rice-damaging pest.,Primary scientific identity source for the Miridbug dataset label.
SRC_PJTSAU_MIRID_WEATHER_002,Population Dynamics of Brown Planthopper and Mirid Bug in Relation to Weather Factors in the Terai Region,G. B. Pant University of Agriculture and Technology,Agricultural research,https://www.gbpuat.res.in/paperdetail.php?paper=1585,2025.0,2026-09-19,2026-09-19,English,"Terai region, Uttarakhand, India",Rice,mirid_bug,Mirid bug,Tier 2 - Agricultural University,"identification,favorable_conditions,monitoring,integrated_pest_management",The study identifies Cyrtorhinus lividipennis as an important natural enemy of brown planthopper and studies its population dynamics in relation to weather parameters.,Weather relationships are study-specific and should not be treated as universal thresholds.,Useful contemporary source for weather-associated Mirid occurrence.
SRC_TNAU_MIRID_IPM_CONSERVATION_001,Crop Protection / IPM guidance for rice planthopper management,Tamil Nadu Agricultural University,University agricultural extension / IPM guidance,https://www.agritech.tnau.ac.in/expert_system/paddy/faqs.html,,2026-09-19,2026-09-19,English,India,Rice,mirid_bug,Mirid bug,Tier 2 - Agricultural University,"cultural_control,biological_control,chemical_control,integrated_pest_management",TNAU rice IPM guidance recommends conserving Cyrtorhinus lividipennis as a natural enemy in brown planthopper management. TNAU IPM guidance also recommends sparing natural-enemy defenders during field sprays and avoiding broad-spectrum pesticides.,The guidance concerns management of rice planthoppers and conservation of their natural enemies. It does not establish a chemical treatment for killing Cyrtorhinus lividipennis.,Used to verify conservation/cultural management and chemical-management precautions for the beneficial Mirid natural enemy.
SRC_PJTSAU_MIRID_WEATHER_001,"Seasonal Incidence of Mirid Bug (Cyrtorhinus lividipennis Reuter), Predator of Brown Plant Hopper in Rice Ecosystem",Professor Jayashankar Telangana State Agricultural University,Peer-reviewed agricultural research,https://epubs.icar.org.in/ejournal/index.php/TJRP/article/view/88750,2018.0,2026-09-19,2026-09-19,English,"Rajendranagar, Telangana, India",Rice,mirid_bug,Mirid bug,Tier 1/2 - ICAR-linked agricultural research,"identification,favorable_conditions,monitoring,integrated_pest_management",Research paper specifically studies seasonal incidence of Cyrtorhinus lividipennis as a predator of brown planthopper in rice.,Study-specific ecological relationships should not be converted into universal weather thresholds.,Strong source for Mirid population occurrence and seasonal monitoring.
